full_name,position_short_name,org_name,org_country
James Harding,Co-Founder and Editor,Tortoise Media Ltd,United Kingdom
Marc Engel,Chief Supply Chain Officer,Unilever,United Kingdom
Alan Jope,Chief Executive Officer,Unilever,United Kingdom
Leena Nair,Chief Human Resources Officer,Unilever,United Kingdom
Paul Polman,Chief Executive Officer (2009-2018),Unilever,United Kingdom
Jeff Seabright,Chief Sustainability Officer,Unilever,United Kingdom
Keith Weed,Chief Marketing Communications Officer,Unilever,United Kingdom
John M. Neill,Chairman and Group Chief Executive,Unipart Group of Companies,United Kingdom
Alexander Betts,Professor of Forced Migration and International Affairs,University of Oxford,United Kingdom
Vikas Pota,Chairman of the Board,Varkey Foundation,United Kingdom
Anil Agarwal,Executive Chairman,Vedanta Resources Plc,United Kingdom
Charlotte Hogg,"Chief Executive Officer, Europe",Visa Inc.,United Kingdom
Makram Abboud,"Vice-Chairman, International",VTB Bank,United Kingdom
Jeremy Farrar,Director,Wellcome Trust,United Kingdom
Howard Frumkin,"Head, Our Planet Our Health",Wellcome Trust,United Kingdom
Nicholas Moakes,Chief Investment Officer,Wellcome Trust,United Kingdom
Edward Whiting,"Director, Policy; Chief of Staff",Wellcome Trust,United Kingdom
Adam Garrard,"Chief Executive Officer, International",Willis Towers Watson,United Kingdom
Amy J.C. Cuddy,Social Psychologist and Author,-,USA
Paul A. Laudicina,Partner and Chairman Emeritus,A.T. Kearney Inc.,USA
Alex Liu,Managing Partner and Chairman,A.T. Kearney Inc.,USA
Jo Ann Jenkins,Chief Executive Officer,AARP,USA
Debra Whitman,Chief Public Policy Officer,AARP,USA
Kelly Bissell,"Senior Managing Director, Accenture Security",Accenture,USA
Paul Daugherty,Chief Technology and Innovation Officer,Accenture,USA
Mark Knickrehm,"Group Chief Executive, Accenture Strategy",Accenture,USA
Sander van't Noordende,"Group Chief Executive, Products",Accenture,USA
Julie Sweet,"Chief Executive Officer, North America",Accenture,USA
Scott Belsky,"Chief Product Officer; Executive Vice- President, Creative Cloud",Adobe Systems Incorporated,USA
Michael S. Burke,Chairman and Chief Executive Officer,AECOM,USA
Edward Dandridge,"Global Head of Marketing and Communications, General Insurance",AIG,USA
Brian Duperreault,President and Chief Executive Officer,AIG,USA
Lucy Fato,Executive Vice-President and General Counsel,AIG,USA
Kevin T. Hogan,"Executive Vice-President and Chief Executive Officer, Life and Retirement",AIG,USA
Peter Zaffino,"Executive Vice-President and Chief Executive Officer, General Insurance",AIG,USA
J. Michael Evans,President,Alibaba Group Holding Limited,USA
Lisa Donahue,Managing Director and Member of the Management Committee,AlixPartners,USA
Simon Freakley,Chief Executive Officer,AlixPartners,USA
Fred Kaiser,Chairman and Chief Executive Officer,Alpha Technologies Inc.,USA
Andrew Jassy,Chief Executive Officer,Amazon Web Services,USA
Michael Punke,"Vice-President, Global Public Policy",Amazon Web Services,USA
Elizabeth H. Shuler,Secretary-Treasurer and Chief Financial Officer,American Federation of Labor and Congress of Industrial Organizations ,USA
Olivier Puech,Executive Vice-President;,"American Tower Corporation President, Latin America and Europe, Middle East and Africa ",USA
Jim Taiclet Jr,"Chairman, President and Chief Executive Officer",American Tower Corporation,USA
Steve Collis,"Chairman, President and Chief Executive Officer",AmeriSourceBergen Corporation,USA
Dan Allen,President and Senior Portfolio Manager,Anchorage Capital Group LLC,USA
Carlos Brito,Chief Executive Officer,Anheuser-Busch InBev NV,USA
Tony Milikin,Chief Procurement and Sustainability Officer,Anheuser-Busch InBev NV,USA
Margery Kraus,Founder and Executive Chairman,APCO Worldwide Inc.,USA
James Rogers,Founder and Chief Executive Officer,Apeel Sciences,USA
Brad Drummond,"Chief Operating Officer, Uniforms and Refreshment Services",Aramark Corporation,USA
Brent Franks,"Chief Operating Officer, International",Aramark Corporation,USA
John Donovan,"Chief Executive Officer, AT&T Communications",AT&T Inc.,USA
Lori Lee,"Chief Executive Officer, ATT International; Global Marketing Officer",AT&T Inc.,USA
Karim Antonio Lesina,"Senior Vice-President, International External and Regulatory Affairs",AT&T Services Inc.,USA
Madeline Gannon,Founder and Principal Researcher,Atonaton,USA
Ouriel Lancry,"Digital Transformation Officer; Head, Global Digital Practice",Bain & Company Inc.,USA
Manny Maceda,Worldwide Managing Partner,Bain & Company Inc.,USA
Hernan Saenz,"Partner and Global Head, Performance Improvement Practice",Bain & Company Inc.,USA
Stephen G. Pagliuca,Co-Chairman,Bain Capital,USA
Catherine Bessant,Chief Operations and Technology Officer,Bank of America Corporation,USA
Anne Finucane,"Chairman of the Board, Bank of America Merrill Lynch, Europe; Vice-Chairman",Bank of America Corporation,USA
Thomas K. Montag,Chief Operating Officer,Bank of America Corporation,USA
Brian T. Moynihan,Chairman and Chief Executive Officer,Bank of America Corporation,USA
Andrea B. Smith,Chief Administrative Officer,Bank of America Corporation,USA
Karen Fang,"Managing Director; Head, Americas Fixed Income, Currencies and Commodities Sales",Bank of America Merrill Lynch,USA
Thomas Finke,Chairman and Chief Executive Officer,Barings,USA
Andrew Robertson,President and Chief Executive Officer,BBDO Worldwide,USA
Jeff Schumacher,Founder and Chief Executive Officer,BCG Digital Ventures,USA
Gary Cohen,"President, Global Health and Development; Executive Vice-President","Becton, Dickinson and Company",USA
Paula J. Dobriansky,"Senior Fellow, Future of Diplomacy Project","Belfer Center for Science and International Affairs, Harvard Kennedy School of Government",USA
Sue Desmond- Hellmann,Chief Executive Officer Foundation,Bill & Melinda Gates,USA
William H. Gates III,Co-Chair,Bill & Melinda Gates Foundation,USA
Mark Suzman,"President, Global Policy and Advocacy; Chief Strategy Officer",Bill & Melinda Gates Foundation,USA
Rodger Voorhies,"President, Global Growth and Opportunity Foundation",Bill & Melinda Gates,USA
Michel Vounatsos,Chief Executive Officer,Biogen,USA
Laurence D. Fink,Chairman and Chief Executive Officer,BlackRock Inc.,USA
Robert Kapito,President,BlackRock Inc.,USA
Barbara Novick,Vice-Chairman,BlackRock Inc.,USA
Mark Wiseman,"Chairman, BlackRock Alternative Investors; Global Head, Active Equities",BlackRock Inc.,USA
Christine Anderson,"Senior Managing Director, Global Public Affairs",Blackstone,USA
Stephen A. Schwarzman,"Chairman, Chief Executive Officer and Co-Founder",Blackstone,USA
Peter T. Grauer,Chairman,Bloomberg LP,USA
Mary Schapiro,"Vice-Chair, Public Policy; Special Adviser to the Founder and Chairman",Bloomberg LP,USA
Patrick Conway,Chief Executive Officer,Blue Cross and Blue Shield of North Carolina,USA
Rashad-Rudolf Kaldany,Partner; Chief Investment Officer,BlueOrange Capital,USA
Rich Lesser,Global Chief Executive Officer,Boston Consulting Group,USA
Thomas Reichert,"Chairman, Global Practices; Global Leader, Digital and Analytics",Boston Consulting Group,USA
Jim Breyer,Founder and Chief Executive Officer,Breyer Capital,USA
Ray Dalio,"Founder, Chairman and Co-Chief Investment Officer",Bridgewater Associates LP,USA
Greg Jensen,Co-Chief Investment Officer,Bridgewater Associates LP,USA
Karen Karniol- Tambour,"Head, Investment Research",Bridgewater Associates LP,USA
David McCormick,Co-Chief Executive Officer,Bridgewater Associates LP,USA
Robert Prince,Co-Chief Investment Officer,Bridgewater Associates LP,USA
Tom Meredith,Senior Partner,Brightstar Capital Partners,USA
Andrew S. Weinberg,"Founder, Managing Partner and Chief Executive Officer",Brightstar Capital Partners,USA
Michael Hankin,President and Chief Executive Officer,Brown Advisory,USA
Victoria A. Espinel,President and Chief Executive Officer,BSA - The Software Alliance,USA
Aron Cramer,President and Chief Executive Officer,Business for Social Responsibility ,USA
Alyson Shontell Lombardi,"Editor-in-Chief, Business Insider US",Business Insider,USA
Christina Lampe- Onnerud,Founder and Chief Executive Officer,Cadenza Innovation,USA
Howard W. Lutnick,Chairman and Chief Executive Officer,Cantor Fitzgerald LP,USA
Joshua S. Friedman,"Co-Founder, Co-Chairman and Co-Chief Executive Officer",Canyon Partners LLC,USA
Ingrid Kiefer,"Partner; Global Co-Head, Business Development",Canyon Partners LLC,USA
Dipender Saluja,Managing Director,Capricorn Investment Group LLC,USA
Ion Yadigaroglu,Managing Partner,Capricorn Investment Group LLC,USA
Devry Boughner Vorwerk,Corporate Vice-President,Cargill,USA
David W. MacLennan,Chairman and Chief Executive Officer,Cargill,USA
William Burns,President,Carnegie Endowment for International Peace,USA
Moisés Naím,Distinguished Fellow,Carnegie Endowment for International Peace,USA
Justine Cassell,"Associate Dean, Technology, Strategy and Impact, School of Computer Science",Carnegie Mellon University,USA
Sourav Sinha,"Vice-President, Strategy and Special Projects",Celularity,USA
Holly Benson,"President and Chief Executive Officer, Health Care Enterprises",Centene Corporation,USA
Arvan Chan,Regional Vice-President,Centene Corporation,USA
Marcela Hawn,Senior Vice-President and Chief Communications Officer,Centene Corporation,USA
Cary Hobbs,Executive Vice-President and Chief of Staff,Centene Corporation,USA
Michael F. Neidorff,Chairman and Chief Executive Officer,Centene Corporation,USA
Andrew C. Wilson,Executive Director,Center for International Private Enterprise ,USA
Ahmad Iravani,President and Executive Director,Center for the Study of Islam and the Middle East ,USA
Mark Nelson,"Vice-President, Midstream, Strategy and Policy",Chevron Corporation,USA
Jay Pryor,"Vice-President, Business Development",Chevron Corporation,USA
Michael K. Wirth,Chairman of the Board and Chief Executive Officer,Chevron Corporation,USA
Jeremy Allaire,Founder and Chief Executive Officer,Circle Internet Financial,USA
Gerri Elliott,Executive Vice-President and Chief Sales and Marketing Officer,Cisco Systems Inc.,USA
Francine Katsoudas,Executive Vice-President and Chief People Officer,Cisco Systems Inc.,USA
Maria Martinez,Executive Vice-President and Chief Customer Experience Officer,Cisco Systems Inc.,USA
Chuck Robbins,Chairman and Chief Executive Officer,Cisco Systems Inc.,USA
Tae Yoo,"Senior Vice-President, Corporate Affairs and Corporate Social Responsibility",Cisco Systems Inc.,USA
Michael Corbat,"Chief Executive Officer, Citigroup",Citi,USA
Tyler Dickson,"Global Co-Head, Banking, Capital Markets and Advisory",Citi,USA
Jamie A Forese,"President, Citigroup",Citi,USA
Julie Monaco,"Managing Director; Global Head, Public Sector Coverage, Corporate and Investment Banking",Citi,USA
Ida Liu,Managing Director and Head of North America Asian Clients Group,Citi Private Bank,USA
Ted Halstead,Chairman and Chief Executive Officer,Climate Leadership Council,USA
Matthew Prince,Co-Founder and Chief Executive Officer,Cloudflare Inc.,USA
Michelle Zatlyn,Co-Founder and Chief Operating Officer,Cloudflare Inc.,USA
Kenneth Harvey,Chairman,CLS Bank International,USA
Sara Eisen,"Co-Anchor, Squawk on the Street and Closing Bell",CNBC,USA
Mark Hoffman,Chairman,CNBC,USA
Julia Chatterley,Anchor,CNN,USA
Richard Quest,"Anchor, Quest Means Business",CNN International,USA
Hadi Partovi,Founder and Chief Executive Officer,Code.org,USA
Akshay Sabhikhi,Chief Executive Officer,CognitiveScale,USA
Francisco D'Souza,Vice-Chairman and Chief Executive Officer,Cognizant Technology Solutions,USA
Malcolm Frank,"Executive Vice-President, Strategy and Marketing",Cognizant Technology Solutions,USA
Rajeev Mehta,President,Cognizant Technology Solutions,USA
Othman Laraki,Co-Founder and Chief Executive Officer,Color Genomics Inc.,USA
Rosanne Haggerty,President and Chief Executive Officer,Community Solutions Inc.,USA
Peter Laugharn,President and Chief Executive Officer,Conrad N. Hilton Foundation,USA
M. Sanjayan,Chief Executive Officer,Conservation International,USA
Caroline Baumann,Director,"Cooper Hewitt, Smithsonian Design Museum",USA
Susanne Bruyere,"Professor of Disability Studies, ILR School",Cornell University,USA
Laura Liswood,Secretary-General,Council of Women World Leaders,USA
Stuart E. Eizenstat,"Partner and Head, International Trade and Finance",Covington & Burling LLP,USA
Lydie Hudson,"Managing Director; Chief Operating Officer, Global Markets",Credit Suisse AG,USA
Einaras von Gravrock,Chief Executive Officer and Founder,CUJO AI,USA
Thomas M. Moriarty,Executive Vice-President; General Counsel,CVS Health Corporation,USA
David Blaine,Magician,D. Blaine Productions Inc.,USA
"Thomas P. Joyce, Jr.",President and Chief Executive Officer,Danaher Corporation,USA
John Rosanvallon,President and Chief Executive Officer,Dassault Falcon Jet Corp.,USA
Kent J. Thiry,Chairman and Chief Executive Officer,DaVita Inc.,USA
Wendy Clark,"President, Chief Executive Officer",DDB World Communications Group Inc.,USA
Michael S. Dell,Chairman and Chief Executive Officer,Dell Technologies,USA
Allison Dew,Chief Marketing Officer,Dell Technologies,USA
Howard Elias,"President, Services and Digital",Dell Technologies,USA
Karen H. Quintos,Chief Customer Officer,Dell Technologies,USA
Janet Foutty,"Chair and Chief Executive Officer, Deloitte Consulting",Deloitte,USA
Stacy Janiak,Chief Client Officer,Deloitte,USA
Punit Renjen,Global Chief Executive Officer,Deloitte,USA
Joseph Ucuzoglu,"Chair and Chief Executive Officer, Audit and Assurance, USA",Deloitte,USA
Tim Andree,Executive Chairman,Dentsu Aegis Network,USA
Nick Brien,"Chief Executive Officer, Americas and US",Dentsu Aegis Network,USA
Ric Fulop,Chief Executive Officer and Co-Founder,Desktop Metal Inc.,USA
Aria Finger,Chief Executive Officer,DoSomething.org,USA
William Lewis,Chief Executive Officer,Dow Jones & Company Inc.,USA
Cathy Foster,"Vice-President, Global Government Relations and Public Policy",eBay Inc.,USA
Kris Miller,Senior Vice-President; Chief Strategy Officer,eBay Inc.,USA
Douglas M. Baker Jr,Chairman and Chief Executive Officer,Ecolab Inc.,USA
Christophe Beck,"Executive Vice-President and President, Global Industrial",Ecolab Inc.,USA
Richard W. Edelman,President and Chief Executive Officer,Edelman,USA
Matthew J. Harrington,Global Chief Operating Officer,Edelman,USA
Luhan Yang,Co-founder and Chief Scientific Officer,eGenesis Inc.,USA
Sanford Climan,President,Entertainment Media Ventures,USA
Mark D. Okerstrom,President and Chief Executive Officer,Expedia Group,USA
Beth A. Brooke- Marciniak,"Global Vice-Chair, Public Policy",EY,USA
Carmine Di Sibio,"Global Managing Partner, Client Service",EY,USA
Mark Weinberger,Global Chairman and Chief Executive Officer,EY,USA
David Agranovich,Threat Disruption Lead,Facebook Inc.,USA
Nick Clegg,"Vice-President, Global Affairs and Communications",Facebook Inc.,USA
Carolyn Everson,"Vice-President, Global Marketing Solutions",Facebook Inc.,USA
Marne Levine,"Vice-President, Global Partnerships and Business Development",Facebook Inc.,USA
Sheryl Sandberg,Chief Operating Officer and Member of the Board,Facebook Inc.,USA
Sarah Williamson,Chief Executive Officer,FCLT Global,USA
Julia Luscombe,"Director, Strategic Initiatives",Feeding America,USA
Melonee Wise,Chief Executive Officer,Fetch Robotics,USA
Kyle Zimmer,President and Chief Executive Officer,First Book,USA
Zev Furst,Chairman and Chief Executive Officer LLC,First International Resources,USA
Jose Bustamante,"Executive Vice-President, Business Development and Strategy",Fluor Corporation,USA
Matthew McSorley,"Executive Vice-President, Project Support Services",Fluor Corporation,USA
David T. Seaton,Chairman and Chief Executive Officer,Fluor Corporation,USA
Bruce Stanski,"Executive Vice-President, Chief Financial Officer",Fluor Corporation,USA
Michael Federle,Chief Executive Officer,Forbes Media LLC,USA
Randall Lane,Chief Content Officer,Forbes Media LLC,USA
Ken Xie,"Founder, Chairman of the Board and Chief Executive Officer",Fortinet Inc.,USA
Steven H. Gunby,President and Chief Executive Officer,FTI Consulting Inc.,USA
Amy Webb,Chief Executive Officer,Future Today Institute,USA
Ngozi Okonjo-Iweala,Chair,"Gavi, the Vaccine Alliance",USA
Scott Strazik,"President and Chief Executive Officer, Gas Power",GE,USA
Danielle Merfeld,Vice-President and Chief Technology Officer,GE Renewable Energy,USA
Michelle Dipp,Managing Director,General Atlantic LLC,USA
William Ford,Chief Executive Officer,General Atlantic LLC,USA
Graves Tompkins,"Global Head, Capital Partnering",General Atlantic LLC,USA
N. V. (Tiger) Tyagarajan,President and Chief Executive Officer,Genpact International Inc.,USA
Sir Mark Vlasic,Professor,Georgetown University,USA
Eileen Donahoe,Executive Director,Global Digital Policy Incubator,USA
Stephanie Cohen,Chief Strategy Officer,"Goldman, Sachs & Co.",USA
Karan Bhatia,"Vice-President, Global Public Policy and Government Affairs",Google Inc.,USA
Thomas Kurian,"Chief Executive Officer, Google Cloud",Google Inc.,USA
Ruth Porat,Senior Vice-President and Chief Financial Officer,Google Inc.,USA
Philipp Schindler,Senior Vice-President and Chief Business Officer,Google Inc.,USA
Lorraine Twohill,Chief Marketing Officer,Google Inc.,USA
Kent Walker,"Senior Vice-President, Global Affairs; Chief Legal Officer",Google Inc.,USA
Jeffrey McDermott,Managing Partner,Greentech Capital Advisors,USA
Jerry Miller,"President, Guggenheim Investments",Guggenheim Partners LLC,USA
Scott Minerd,Chief Investment Officer,Guggenheim Partners LLC,USA
Patrick J. Geraghty,Chief Executive Officer,GuideWell Group Inc.,USA
Mark Burns,President,Gulfstream Aerospace Corporation,USA
Scott Neal,"Senior Vice-President, Worldwide Sales",Gulfstream Aerospace Corporation,USA
Guy Rolnik,"Founding Editor-in-Chief, The Marker; Deputy Publisher, Ha'aretz Group",Ha'aretz-TheMarker Daily Newspaper,USA
Robert C. Garrett,Chief Executive Officer,Hackensack Meridian Health,USA
Naomi Oreskes,Professor of the History of Science,Harvard University,USA
C. Vijayakumar,President and Chief Executive Officer,HCL Technologies Ltd,USA
Nazneen Razi,Senior Vice-President and Chief Human Resources Officer,Health Care Service Corporation,USA
Paula Steiner,President and Chief Executive Officer,Health Care Service Corporation,USA
Bonnie Gwin,"Vice-Chairman and Co-Managing Partner, Chief Executive Officer and Board Practice",Heidrick & Struggles,USA
Andrew LeSueur,"Global Managing Partner, Heidrick Consulting",Heidrick & Struggles,USA
Krishnan Rajagopalan,President and Chief Executive Officer,Heidrick & Struggles,USA
Stanley M. Bergman,Chairman of the Board and Chief Executive Officer,Henry Schein Inc.,USA
Michael Ettinger,"Senior Vice-President, Corporate and Legal Affairs; Chief of Staff",Henry Schein Inc.,USA
Vishal Lall,Chief Strategy Officer,Hewlett Packard Enterprise,USA
Antonio Neri,President and Chief Executive Officer,Hewlett Packard Enterprise,USA
Patricia F. Russo,Chairman of the Board of Directors,Hewlett Packard Enterprise,USA
John Schultz,Executive Vice-President; Chief Legal and Administrative Officer; Company Secretary,Hewlett Packard Enterprise,USA
Jennifer Temple,Chief Communications Officer,Hewlett Packard Enterprise,USA
Kenneth Goldman,President,Hillspire,USA
Todd Platt,Chief Executive Officer,Hillwood,USA
Jeff Huber,President and Chief Executive Officer,Home Instead Inc.,USA
Christoph Schell,"President, 3D Printing and Digital Manufacturing",HP Inc.,USA
Dion Weisler,President and Chief Executive Officer,HP Inc.,USA
Scott B. Kapnick,Chief Executive Officer,HPS Investment Partners LLC,USA
Michael Patterson,Managing Partner,HPS Investment Partners LLC,USA
Kenneth Roth,Executive Director,Human Rights Watch,USA
Bruce Broussard,President and Chief Executive Officer,Humana Inc.,USA
Alan Wheatley,"Segment President, Retail",Humana Inc.,USA
Hunter Hunt,Chief Executive Officer,Hunt Consolidated Energy LP,USA
will.i.am,Founder and Chief Executive Officer,I.AM.PLUS,USA
Mark Foster,"Senior Vice-President, Global Business Services",IBM Corporation,USA
Bridget van Kralingen,"Senior Vice-President, Global Industries, Clients, Platforms and Blockchain",IBM Corporation,USA
Chris Padilla,"Vice-President, Government and Regulatory Affairs",IBM Corporation,USA
Ginni Rometty,"Chairman, President and Chief Executive Officer",IBM Corporation,USA
Martin Schroeter,"Senior Vice-President, Global Markets",IBM Corporation,USA
Tim Brown,Chief Executive Officer,IDEO,USA
Marcos Brujis,Chief Executive Officer,IFC Asset Management Company LLC,USA
Nariman Behravesh,Chief Economist,IHS Markit,USA
Sari Granat,"Executive Vice-President, Chief Administrative Officer and General Counsel",IHS Markit,USA
James Rosenfield,Senior Vice-President,IHS Markit,USA
Daniel Yergin,Vice-Chairman,IHS Markit,USA
Jay Flatley,Executive Chairman,Illumina Inc.,USA
Kathleen Lynch,"Vice-President, Global Government Affairs and Public Policy",Illumina Inc.,USA
David Perry,President and Chief Executive Officer,Indigo Agriculture Inc.,USA
Ravi Kumar S.,President,Infosys Ltd,USA
Deverre Lierman,"Associate Vice-President; Head, US Southeast Region and Raleigh Innovation Hub",Infosys Ltd,USA
Sandra Lopez,"Senior Vice-President, Immersive Experiences",Intel Corporation,USA
Elie Maalouf,"Chief Executive Officer, Americas",InterContinental Hotels Group Plc,USA
Marc Harrison,President and Chief Executive Officer,Intermountain Healthcare,USA
Marin Alsop,Conductor,Intermusica Artists' Management Ltd,USA
Andreas Fibig,Chairman and Chief Executive Officer,International Flavors & Fragrances Inc. ,USA
Gregory Yep,Chief Scientific and Sustainability Officer,International Flavors & Fragrances Inc. ,USA
Shenggen Fan,Director-General,International Food Policy Research Institute ,USA
Gary A. Haugen,Chief Executive Officer,International Justice Mission ,USA
David Miliband,President,International Rescue Committee,USA
Jeanne Bourgault,President,Internews,USA
Michael I. Roth,Chairman and Chief Executive Officer,Interpublic Group,USA
Martin L. Flanagan,President and Chief Executive Officer,Invesco Ltd,USA
William L. Meaney,President and Chief Executive Officer,Iron Mountain Information Management LLC,USA
Fidelma Russo,Chief Technology Officer,Iron Mountain Information Management LLC,USA
Asheesh Advani,President and Chief Executive Officer,JA Worldwide,USA
Stephen Klasko,President and Chief Executive Officer,Jefferson Health,USA
Jared Cohen,Founder and Chief Executive Officer,Jigsaw,USA
Gregory O'Brien,"Chief Executive Officer, Americas",JLL,USA
Sheila Penrose,Chairman of the Board,JLL,USA
Christian Ulbrich,Global Chief Executive Officer; President,JLL,USA
Seema Kumar,"Vice-President, Innovation, Global Health and Policy Communication",Johnson & Johnson,USA
Paul Stoffels,Vice-Chairman and Chief Scientific Officer,Johnson & Johnson,USA
Alan Tennenberg,"Chief Medical Officer, Global Public Health",Johnson & Johnson,USA
Kathy Wengel,Executive Vice-President and Chief Global Supply Chain Officer,Johnson & Johnson,USA
George Oliver,Chairman and Chief Executive Officer,Johnson Controls,USA
James Dimon,Chairman and Chief Executive Officer,JPMorgan Chase & Co.,USA
Mary Callahan Erdoes,"Chief Executive Officer, Asset and Wealth Management",JPMorgan Chase & Co.,USA
Jacob A. Frenkel,Vice-Chairman,JPMorgan Chase & Co.,USA
Vivian Tan,"Vice-President, Strategy and Transformation",Kaiser Permanente,USA
Bernard J. Tyson,Chairman and Chief Executive Officer,Kaiser Permanente,USA
Scott Nuttall,"Member, Co-President, Co-Chief Operating Officer",Kohlberg Kravis Roberts & Co. LP,USA
Lynne Doughtie,"Chairman and Chief Executive Officer; Member, Global Executive Committee",KPMG,USA
Scott Ozanus,"Deputy Chairman and Chief Operating Officer; Chairman, Americas",KPMG,USA
David B. Agus,Professor of Medicine and Engineering; Founder and Chief Executive Officer USC,Lawrence J. Ellison Institute for Transformative Medicine,USA
Kenneth M. Jacobs,Chairman of the Board of Directors and Chief Executive Officer,Lazard,USA
Peter Orszag,Vice-Chairman,Lazard,USA
Jeffrey Allen Rosen,Deputy Chairman,Lazard,USA
Daniella Ballou-Aares,Chief Executive Officer,Leadership Now Project,USA
Seth Ellison,"Executive Vice-President and President, Europe",Levi Strauss & Co.,USA
Kelly McGinnis,Senior Vice-President and Chief Communications Officer,Levi Strauss & Co.,USA
Michael T. Fries,Chief Executive Officer,Liberty Global Plc,USA
Manuel Kohnstamm,Senior Vice-President and Chief Corporate Affairs Officer,Liberty Global Plc,USA
Allen Blue,"Co-Founder and Vice-President, Products",LinkedIn Corporation,USA
Rod Makoske,"Senior Vice-President, Corporate Engineering, Technology and Operations",Lockheed Martin Corporation,USA
Richard Ambrose,"Executive Vice-President, Space Systems Systems Company",Lockheed Martin Space,USA
Dov Seidman,Founder and Chief Executive Officer,LRN Corporation,USA
Marissa Mayer,Co-Founder,Lumi Labs,USA
Michael S. Klein,Managing Partner,M Klein and Company,USA
Jonas Prising,Chairman and Chief Executive Officer,ManpowerGroup,USA
Mara Swan,"Executive Vice-President, Global Strategy and Talent",ManpowerGroup,USA
Stephanie Linnartz,Global Chief Commercial Officer,Marriott International Inc.,USA
Arne Sorenson,President and Chief Executive Officer,Marriott International Inc.,USA
Peter Beshar,Executive Vice-President and General Counsel,Marsh & McLennan Companies,USA
Daniel Glaser,President and Chief Executive Officer,Marsh & McLennan Companies,USA
Marin Soljacic,Professor of Physics,Massachusetts Institute of Technology  Technology,USA
Andrew McAfee,"Co-Director and Co-Founder, MIT Initiative on the Digital Economy; Principal Research Scientist",Massachusetts Institute of Technology ,USA
Joy Buolamwini,"Researcher; Founder, Algorithmic Justice League",Massachusetts Institute of Technology  Media Laboratory,USA
Cesar A. Hidalgo,"Director, Collective Learning Group",Massachusetts Institute of Technology  Media Laboratory,USA
Roger Crandall,"Chairman, President and Chief Executive Officer",Massachusetts Mutual Life Insurance Company,USA
Michael Froman,"Vice-Chairman and President, Strategic Growth",Mastercard,USA
Richard Haythornthwaite,Chairman,Mastercard,USA
Tara Nathan,"Executive Vice-President, Public-Private Partnerships",Mastercard,USA
Shamina Singh,"President, Mastercard Center for Inclusive Growth",Mastercard,USA
Nili Gilbert,Co-Founder and Portfolio Manager,Matarin Capital,USA
Navin Chaddha,Managing Director,Mayfield,USA
Jeffrey W. Bolton,Chief Administrative Officer and Vice- President,Mayo Clinic,USA
Gianrico Farrugia,President and Chief Executive Officer,Mayo Clinic,USA
Liz Hilton Segel,"Managing Partner, North America",McKinsey & Company,USA
Nelson W. Cunningham,President,McLarty Associates,USA
Julio Portalatin,President and Chief Executive Officer,Mercer ,USA
Martine Ferland,Group President,Mercer Limited,USA
Neal Keny-Guyer,Chief Executive Officer,Mercy Corps,USA
Alan Murray,President and Chief Content Officer,Meredith Corporation,USA
Sanjay Mehrotra,President and Chief Executive Officer,Micron Technology Inc.,USA
Peggy Johnson,"Executive Vice-President, Business Development",Microsoft Corp.,USA
Satya Nadella,Chief Executive Officer,Microsoft Corp.,USA
Jan Neutze,"Director, Cybersecurity Policy; Head, Cybersecurity and Democracy Team, Corporate, Legal and External Affairs",Microsoft Corp.,USA
Bradford L. Smith,President and Chief Legal Officer,Microsoft Corp.,USA
Mary Snapp,"Corporate Vice-President, Microsoft Philanthropies",Microsoft Corp.,USA
Mauricio Ramos,Chief Executive Officer,Millicom Inc.,USA
Rachel Samrén,"Executive Vice-President, Chief External Affairs Officer",Millicom International Services LLC,USA
Gideon Lichfield,Editor-in-Chief,MIT - Technology Review,USA
Sir Tim Berners-Lee,Professor of Engineering,MIT Computer Science and Artificial Intelligence Laboratory ,USA
Andras Forgacs,Chief Executive Officer,Modern Meadow Inc.,USA
Stéphane Bancel,Chief Executive Officer,Moderna Therapeutics,USA
Eric Cantor,Vice-Chairman and Managing Director,Moelis & Company,USA
Ken Moelis,Chairman and Chief Executive Officer,Moelis & Company,USA
James Gorman,Chairman and Chief Executive Officer,Morgan Stanley,USA
Thomas Nides,Vice-Chairman,Morgan Stanley,USA
Jonathan Pruzan,Executive Vice-President and Chief Financial Officer,Morgan Stanley,USA
Katharina Borchert,Chief Open Innovation Officer,Mozilla Corporation,USA
Franklin King Clyburn Jr,Chief Commercial Officer,MSD,USA
Kenneth C. Frazier,Chairman and Chief Executive Officer,MSD,USA
Julie Louise Gerberding,"Executive Vice-President and Chief Patient Officer, Strategic Communications, Global Public Policy and Population Health",MSD,USA
Michael Nally,Chief Marketing Officer,MSD,USA
Lydia Ogden,"Associate Vice-President, Global Enterprise Policy",MSD,USA
Stephanie Ruhle,Anchor and Correspondent,MSNBC,USA
Heather Bresch,Chief Executive Officer,Mylan N.V.,USA
Vivek Maru,Chief Executive Officer,Namati,USA
Adena Friedman,President and Chief Executive Officer,Nasdaq Inc.,USA
Nelson Griggs,"President, Nasdaq Stock Exchange",Nasdaq Inc.,USA
Enric Sala,Explorer-in-Residence,National Geographic Society,USA
Clay C. Williams,"President, Chairman and Chief Executive Officer",National Oilwell Varco LP,USA
Ellen Zimiles,Managing Director; Financial Services Advisory and Compliance Segment Leader,Navigant Consulting Inc.,USA
